2025-01-12 03:02:44 - addr(ip='2405:201:6806:4831:c818:53cf:34bb:2b26', port=50312) -> addr(ip='2606:4700:90c2:7cbc:c2a8:bab:5ff2:75c4', port=443) - TIME_WAIT
2025-01-12 03:02:44 - addr(ip='2405:201:6806:4831:c818:53cf:34bb:2b26', port=50325) -> addr(ip='2404:6800:4002:820::200e', port=443) - TIME_WAIT
2025-01-12 03:02:44 - addr(ip='2405:201:6806:4831:c818:53cf:34bb:2b26', port=50321) -> addr(ip='2404:6800:4002:82e::200a', port=443) - TIME_WAIT
2025-01-12 03:02:44 - addr(ip='2405:201:6806:4831:c818:53cf:34bb:2b26', port=50317) -> addr(ip='2404:6800:4002:81d::200a', port=443) - TIME_WAIT
2025-01-12 03:02:44 - addr(ip='2405:201:6806:4831:c818:53cf:34bb:2b26', port=50320) -> addr(ip='2404:6800:4002:81f::2005', port=443) - TIME_WAIT
2025-01-12 03:02:44 - addr(ip='2405:201:6806:4831:c818:53cf:34bb:2b26', port=50316) -> addr(ip='2404:6800:4002:815::200a', port=443) - TIME_WAIT
2025-01-12 03:02:44 - addr(ip='2405:201:6806:4831:c818:53cf:34bb:2b26', port=50318) -> addr(ip='2404:6800:4002:82d::200a', port=443) - TIME_WAIT
2025-01-12 03:02:49 - addr(ip='2405:201:6806:4831:c818:53cf:34bb:2b26', port=50331) -> addr(ip='2404:6800:4002:81f::2005', port=443) - ESTABLISHED
2025-01-12 03:02:49 - addr(ip='2405:201:6806:4831:c818:53cf:34bb:2b26', port=50330) -> addr(ip='2404:6800:4002:81f::2005', port=443) - ESTABLISHED
2025-01-12 03:02:49 - addr(ip='2405:201:6806:4831:c818:53cf:34bb:2b26', port=50329) -> addr(ip='2404:6800:4002:822::2003', port=443) - ESTABLISHED
2025-01-12 03:02:59 - addr(ip='2405:201:6806:4831:c818:53cf:34bb:2b26', port=50334) -> addr(ip='2404:6800:4002:81f::2001', port=443) - ESTABLISHED
2025-01-12 03:03:14 - addr(ip='192.168.29.188', port=50340) -> addr(ip='99.86.47.11', port=443) - ESTABLISHED
2025-01-12 03:03:14 - addr(ip='192.168.29.188', port=50339) -> addr(ip='99.86.47.11', port=443) - ESTABLISHED
2025-01-12 03:03:39 - addr(ip='2405:201:6806:4831:c818:53cf:34bb:2b26', port=50345) -> addr(ip='2404:6800:4002:824::200e', port=443) - ESTABLISHED
2025-01-12 03:03:39 - addr(ip='2405:201:6806:4831:c818:53cf:34bb:2b26', port=50344) -> addr(ip='2404:6800:4002:826::2005', port=443) - ESTABLISHED
2025-01-12 03:03:49 - addr(ip='192.168.29.188', port=50346) -> addr(ip='18.164.217.15', port=443) - ESTABLISHED
2025-01-12 03:03:49 - addr(ip='192.168.29.188', port=50347) -> addr(ip='18.164.217.15', port=443) - ESTABLISHED
2025-01-12 03:03:54 - addr(ip='192.168.29.188', port=50348) -> addr(ip='52.29.15.27', port=443) - ESTABLISHED
2025-01-12 03:03:59 - addr(ip='192.168.29.188', port=50346) -> addr(ip='18.164.217.15', port=443) - TIME_WAIT
2025-01-12 03:03:59 - addr(ip='192.168.29.188', port=50347) -> addr(ip='18.164.217.15', port=443) - TIME_WAIT
2025-01-12 03:04:04 - addr(ip='192.168.29.188', port=50350) -> addr(ip='20.42.73.25', port=443) - ESTABLISHED
2025-01-12 03:04:09 - addr(ip='192.168.29.188', port=50354) -> addr(ip='18.164.217.15', port=443) - ESTABLISHED
