2025-01-13 15:52:14 - System Idle Process (PID: 0) - CPU: 1061.0%, MEM: 0.00010386427017173957%
2025-01-13 15:53:15 - System Idle Process (PID: 0) - CPU: 1061.1%, MEM: 0.00010386427017173957%
2025-01-13 15:54:15 - System Idle Process (PID: 0) - CPU: 1080.0%, MEM: 0.00010386427017173957%
2025-01-13 15:55:16 - System Idle Process (PID: 0) - CPU: 1044.0%, MEM: 0.00010386427017173957%
2025-01-13 15:56:17 - System Idle Process (PID: 0) - CPU: 1052.7%, MEM: 0.00010386427017173957%
2025-01-13 15:57:18 - System Idle Process (PID: 0) - CPU: 1069.8%, MEM: 0.00010386427017173957%
2025-01-13 15:58:19 - System Idle Process (PID: 0) - CPU: 1082.4%, MEM: 0.00010386427017173957%
2025-01-13 15:59:19 - System Idle Process (PID: 0) - CPU: 1066.9%, MEM: 0.00010386427017173957%
2025-01-13 16:00:20 - System Idle Process (PID: 0) - CPU: 1056.1%, MEM: 0.00010386427017173957%
2025-01-13 16:01:21 - System Idle Process (PID: 0) - CPU: 1079.3%, MEM: 0.00010386427017173957%
2025-01-13 16:02:22 - System Idle Process (PID: 0) - CPU: 1058.9%, MEM: 0.00010386427017173957%
2025-01-13 16:03:22 - System Idle Process (PID: 0) - CPU: 1060.8%, MEM: 0.00010386427017173957%
2025-01-13 16:04:24 - System Idle Process (PID: 0) - CPU: 971.2%, MEM: 0.00010386427017173957%
2025-01-13 16:05:25 - System Idle Process (PID: 0) - CPU: 1023.1%, MEM: 0.00010386427017173957%
2025-01-13 16:06:25 - System Idle Process (PID: 0) - CPU: 1066.2%, MEM: 0.00010386427017173957%
2025-01-13 16:07:26 - System Idle Process (PID: 0) - CPU: 1071.0%, MEM: 0.00010386427017173957%
2025-01-13 16:08:27 - System Idle Process (PID: 0) - CPU: 1072.2%, MEM: 0.00010386427017173957%
2025-01-13 16:09:28 - System Idle Process (PID: 0) - CPU: 1062.5%, MEM: 0.00010386427017173957%
2025-01-13 16:10:28 - System Idle Process (PID: 0) - CPU: 1049.6%, MEM: 0.00010386427017173957%
2025-01-13 16:11:29 - System Idle Process (PID: 0) - CPU: 1048.9%, MEM: 0.00010386427017173957%
2025-01-13 16:12:30 - System Idle Process (PID: 0) - CPU: 1062.8%, MEM: 0.00010386427017173957%
2025-01-13 16:13:31 - System Idle Process (PID: 0) - CPU: 1072.1%, MEM: 0.00010386427017173957%
2025-01-13 16:14:32 - System Idle Process (PID: 0) - CPU: 1062.8%, MEM: 0.00010386427017173957%
2025-01-13 16:15:33 - System Idle Process (PID: 0) - CPU: 1062.3%, MEM: 0.00010386427017173957%
2025-01-13 16:16:33 - System Idle Process (PID: 0) - CPU: 1056.0%, MEM: 0.00010386427017173957%
2025-01-13 16:17:34 - System Idle Process (PID: 0) - CPU: 1059.8%, MEM: 0.00010386427017173957%
2025-01-13 16:18:35 - System Idle Process (PID: 0) - CPU: 1061.3%, MEM: 0.00010386427017173957%
2025-01-13 16:19:36 - System Idle Process (PID: 0) - CPU: 1057.7%, MEM: 0.00010386427017173957%
2025-01-13 16:20:37 - System Idle Process (PID: 0) - CPU: 1031.7%, MEM: 0.00010386427017173957%
2025-01-13 16:21:38 - System Idle Process (PID: 0) - CPU: 1058.7%, MEM: 0.00010386427017173957%
2025-01-13 16:22:39 - System Idle Process (PID: 0) - CPU: 1045.5%, MEM: 0.00010386427017173957%
2025-01-13 16:23:39 - System Idle Process (PID: 0) - CPU: 1039.2%, MEM: 0.00010386427017173957%
2025-01-13 16:24:40 - System Idle Process (PID: 0) - CPU: 1063.3%, MEM: 0.00010386427017173957%
2025-01-13 16:25:41 - System Idle Process (PID: 0) - CPU: 1125.2%, MEM: 0.00010386427017173957%
2025-01-13 16:26:41 - System Idle Process (PID: 0) - CPU: 1072.4%, MEM: 0.00010386427017173957%
2025-01-13 16:27:42 - System Idle Process (PID: 0) - CPU: 1093.5%, MEM: 0.00010386427017173957%
2025-01-13 16:28:43 - System Idle Process (PID: 0) - CPU: 1075.3%, MEM: 0.00010386427017173957%
2025-01-13 16:29:44 - System Idle Process (PID: 0) - CPU: 1073.1%, MEM: 0.00010386427017173957%
2025-01-13 16:30:44 - System Idle Process (PID: 0) - CPU: 1046.6%, MEM: 0.00010386427017173957%
2025-01-13 16:31:45 - System Idle Process (PID: 0) - CPU: 1072.9%, MEM: 0.00010386427017173957%
2025-01-13 16:32:46 - System Idle Process (PID: 0) - CPU: 1056.0%, MEM: 0.00010386427017173957%
2025-01-13 16:33:47 - System Idle Process (PID: 0) - CPU: 1062.4%, MEM: 0.00010386427017173957%
2025-01-13 16:34:47 - System Idle Process (PID: 0) - CPU: 1035.9%, MEM: 0.00010386427017173957%
2025-01-13 16:35:48 - System Idle Process (PID: 0) - CPU: 1070.8%, MEM: 0.00010386427017173957%
2025-01-13 16:36:49 - System Idle Process (PID: 0) - CPU: 1067.0%, MEM: 0.00010386427017173957%
2025-01-13 16:37:50 - System Idle Process (PID: 0) - CPU: 1080.8%, MEM: 0.00010386427017173957%
2025-01-13 16:38:50 - System Idle Process (PID: 0) - CPU: 1053.8%, MEM: 0.00010386427017173957%
2025-01-13 16:39:51 - System Idle Process (PID: 0) - CPU: 1059.0%, MEM: 0.00010386427017173957%
2025-01-13 16:40:52 - System Idle Process (PID: 0) - CPU: 1054.1%, MEM: 0.00010386427017173957%
2025-01-13 16:41:53 - System Idle Process (PID: 0) - CPU: 1073.6%, MEM: 0.00010386427017173957%
2025-01-13 16:42:54 - System Idle Process (PID: 0) - CPU: 1064.4%, MEM: 0.00010386427017173957%
2025-01-13 16:43:54 - System Idle Process (PID: 0) - CPU: 1054.7%, MEM: 0.00010386427017173957%
2025-01-13 16:44:55 - System Idle Process (PID: 0) - CPU: 1067.8%, MEM: 0.00010386427017173957%
2025-01-13 16:45:56 - System Idle Process (PID: 0) - CPU: 1066.5%, MEM: 0.00010386427017173957%
2025-01-13 16:46:57 - System Idle Process (PID: 0) - CPU: 1041.6%, MEM: 0.00010386427017173957%
2025-01-13 16:47:58 - System Idle Process (PID: 0) - CPU: 1055.6%, MEM: 0.00010386427017173957%
2025-01-13 16:48:59 - System Idle Process (PID: 0) - CPU: 1067.3%, MEM: 0.00010386427017173957%
2025-01-13 16:49:59 - System Idle Process (PID: 0) - CPU: 1037.7%, MEM: 0.00010386427017173957%
2025-01-13 16:51:00 - System Idle Process (PID: 0) - CPU: 1071.8%, MEM: 0.00010386427017173957%
2025-01-13 16:52:01 - System Idle Process (PID: 0) - CPU: 1056.6%, MEM: 0.00010386427017173957%
2025-01-13 16:53:02 - System Idle Process (PID: 0) - CPU: 1078.1%, MEM: 0.00010386427017173957%
2025-01-13 16:54:03 - System Idle Process (PID: 0) - CPU: 1070.5%, MEM: 0.00010386427017173957%
2025-01-13 16:55:03 - System Idle Process (PID: 0) - CPU: 1080.7%, MEM: 0.00010386427017173957%
2025-01-13 16:56:04 - System Idle Process (PID: 0) - CPU: 1051.5%, MEM: 0.00010386427017173957%
2025-01-13 16:57:05 - System Idle Process (PID: 0) - CPU: 1077.3%, MEM: 0.00010386427017173957%
2025-01-13 16:58:06 - System Idle Process (PID: 0) - CPU: 1065.9%, MEM: 0.00010386427017173957%
2025-01-13 16:59:07 - System Idle Process (PID: 0) - CPU: 1096.5%, MEM: 0.00010386427017173957%
2025-01-13 17:00:07 - System Idle Process (PID: 0) - CPU: 1109.8%, MEM: 0.00010386427017173957%
2025-01-13 17:01:08 - System Idle Process (PID: 0) - CPU: 1084.6%, MEM: 0.00010386427017173957%
2025-01-13 17:02:09 - System Idle Process (PID: 0) - CPU: 1070.9%, MEM: 0.00010386427017173957%
2025-01-13 17:03:09 - System Idle Process (PID: 0) - CPU: 1071.5%, MEM: 0.00010386427017173957%
2025-01-13 17:04:10 - System Idle Process (PID: 0) - CPU: 1072.0%, MEM: 0.00010386427017173957%
2025-01-13 17:05:11 - System Idle Process (PID: 0) - CPU: 1014.0%, MEM: 0.00010386427017173957%
2025-01-13 17:06:12 - System Idle Process (PID: 0) - CPU: 1052.0%, MEM: 0.00010386427017173957%
2025-01-13 17:07:13 - System Idle Process (PID: 0) - CPU: 1066.4%, MEM: 0.00010386427017173957%
2025-01-13 17:08:13 - System Idle Process (PID: 0) - CPU: 1066.8%, MEM: 0.00010386427017173957%
2025-01-13 17:09:14 - System Idle Process (PID: 0) - CPU: 1052.3%, MEM: 0.00010386427017173957%
2025-01-13 17:10:15 - System Idle Process (PID: 0) - CPU: 1061.9%, MEM: 0.00010386427017173957%
2025-01-13 17:11:16 - System Idle Process (PID: 0) - CPU: 1069.5%, MEM: 0.00010386427017173957%
2025-01-13 17:12:17 - System Idle Process (PID: 0) - CPU: 994.4%, MEM: 0.00010386427017173957%
2025-01-13 17:13:17 - System Idle Process (PID: 0) - CPU: 1065.8%, MEM: 0.00010386427017173957%
2025-01-13 17:14:18 - System Idle Process (PID: 0) - CPU: 1074.6%, MEM: 0.00010386427017173957%
2025-01-13 17:15:19 - System Idle Process (PID: 0) - CPU: 1070.9%, MEM: 0.00010386427017173957%
2025-01-13 17:16:20 - System Idle Process (PID: 0) - CPU: 1068.5%, MEM: 0.00010386427017173957%
2025-01-13 17:17:21 - System Idle Process (PID: 0) - CPU: 1047.1%, MEM: 0.00010386427017173957%
2025-01-13 17:18:21 - System Idle Process (PID: 0) - CPU: 1055.2%, MEM: 0.00010386427017173957%
2025-01-13 17:19:22 - System Idle Process (PID: 0) - CPU: 1059.9%, MEM: 0.00010386427017173957%
2025-01-13 17:20:23 - System Idle Process (PID: 0) - CPU: 1052.6%, MEM: 0.00010386427017173957%
2025-01-13 17:21:24 - System Idle Process (PID: 0) - CPU: 1073.7%, MEM: 0.00010386427017173957%
2025-01-13 17:22:25 - System Idle Process (PID: 0) - CPU: 1075.9%, MEM: 0.00010386427017173957%
2025-01-13 17:23:25 - System Idle Process (PID: 0) - CPU: 1056.4%, MEM: 0.00010386427017173957%
2025-01-13 17:24:26 - System Idle Process (PID: 0) - CPU: 1069.2%, MEM: 0.00010386427017173957%
2025-01-13 17:25:27 - System Idle Process (PID: 0) - CPU: 1078.5%, MEM: 0.00010386427017173957%
2025-01-13 17:26:28 - System Idle Process (PID: 0) - CPU: 1108.1%, MEM: 0.00010386427017173957%
2025-01-13 17:27:28 - System Idle Process (PID: 0) - CPU: 1036.0%, MEM: 0.00010386427017173957%
2025-01-13 17:28:29 - System Idle Process (PID: 0) - CPU: 1072.9%, MEM: 0.00010386427017173957%
2025-01-13 17:29:30 - System Idle Process (PID: 0) - CPU: 1071.4%, MEM: 0.00010386427017173957%
2025-01-13 17:30:31 - System Idle Process (PID: 0) - CPU: 1053.2%, MEM: 0.00010386427017173957%
2025-01-13 17:31:31 - System Idle Process (PID: 0) - CPU: 1111.2%, MEM: 0.00010386427017173957%
2025-01-13 17:32:32 - System Idle Process (PID: 0) - CPU: 1077.4%, MEM: 0.00010386427017173957%
2025-01-13 17:33:33 - System Idle Process (PID: 0) - CPU: 1079.6%, MEM: 0.00010386427017173957%
2025-01-13 17:34:34 - System Idle Process (PID: 0) - CPU: 1022.3%, MEM: 0.00010386427017173957%
2025-01-13 17:35:35 - System Idle Process (PID: 0) - CPU: 1015.4%, MEM: 0.00010386427017173957%
2025-01-13 17:36:35 - System Idle Process (PID: 0) - CPU: 1091.4%, MEM: 0.00010386427017173957%
2025-01-13 17:37:36 - System Idle Process (PID: 0) - CPU: 1088.9%, MEM: 0.00010386427017173957%
2025-01-13 17:38:37 - System Idle Process (PID: 0) - CPU: 1086.3%, MEM: 0.00010386427017173957%
2025-01-13 17:39:38 - System Idle Process (PID: 0) - CPU: 1063.8%, MEM: 0.00010386427017173957%
2025-01-13 17:40:38 - System Idle Process (PID: 0) - CPU: 990.6%, MEM: 0.00010386427017173957%
2025-01-13 17:41:39 - System Idle Process (PID: 0) - CPU: 1062.5%, MEM: 0.00010386427017173957%
2025-01-13 17:42:40 - System Idle Process (PID: 0) - CPU: 1092.8%, MEM: 0.00010386427017173957%
2025-01-13 17:43:40 - System Idle Process (PID: 0) - CPU: 1097.3%, MEM: 0.00010386427017173957%
2025-01-13 17:44:41 - System Idle Process (PID: 0) - CPU: 1093.6%, MEM: 0.00010386427017173957%
2025-01-13 17:45:42 - System Idle Process (PID: 0) - CPU: 1060.1%, MEM: 0.00010386427017173957%
2025-01-13 17:46:43 - System Idle Process (PID: 0) - CPU: 1026.8%, MEM: 0.00010386427017173957%
2025-01-13 17:47:43 - System Idle Process (PID: 0) - CPU: 1042.4%, MEM: 0.00010386427017173957%
2025-01-13 17:48:44 - System Idle Process (PID: 0) - CPU: 955.4%, MEM: 0.00010386427017173957%
2025-01-13 17:49:45 - System Idle Process (PID: 0) - CPU: 1007.0%, MEM: 0.00010386427017173957%
2025-01-13 17:50:46 - System Idle Process (PID: 0) - CPU: 1098.6%, MEM: 0.00010386427017173957%
2025-01-13 17:51:46 - System Idle Process (PID: 0) - CPU: 1089.2%, MEM: 0.00010386427017173957%
2025-01-13 17:52:47 - System Idle Process (PID: 0) - CPU: 1092.9%, MEM: 0.00010386427017173957%
2025-01-13 17:53:48 - System Idle Process (PID: 0) - CPU: 1024.5%, MEM: 0.00010386427017173957%
2025-01-13 17:54:48 - System Idle Process (PID: 0) - CPU: 1088.2%, MEM: 0.00010386427017173957%
2025-01-13 17:55:49 - System Idle Process (PID: 0) - CPU: 1089.8%, MEM: 0.00010386427017173957%
